,params,precisions,recalls,f1_scores,accuracy,aucs
221,"['dart', 10, 7, 0.001, 150]",0.122093023,0.488372093,0.195348837,0.762362637,0.659968596
231,"['dart', 10, 10, 0.001, 50]",0.122093023,0.488372093,0.195348837,0.762362637,0.659968596
232,"['dart', 10, 10, 0.001, 100]",0.122093023,0.488372093,0.195348837,0.762362637,0.659968596
233,"['dart', 10, 10, 0.001, 150]",0.122093023,0.488372093,0.195348837,0.762362637,0.659968596
398,"['goss', 10, 5, 0.0001, 150]",0.122093023,0.488372093,0.195348837,0.762362637,0.659968596
399,"['goss', 10, 5, 0.001, 50]",0.122093023,0.488372093,0.195348837,0.762362637,0.659968596
400,"['goss', 10, 5, 0.001, 100]",0.122093023,0.488372093,0.195348837,0.762362637,0.659968596
410,"['goss', 10, 7, 0.0001, 150]",0.122093023,0.488372093,0.195348837,0.762362637,0.659968596
411,"['goss', 10, 7, 0.001, 50]",0.122093023,0.488372093,0.195348837,0.762362637,0.659968596
422,"['goss', 10, 10, 0.0001, 150]",0.122093023,0.488372093,0.195348837,0.762362637,0.659968596
423,"['goss', 10, 10, 0.001, 50]",0.122093023,0.488372093,0.195348837,0.762362637,0.659968596
271,"['dart', 20, 7, 0.01, 100]",0.127208481,0.418604651,0.195121951,0.796016484,0.659968596
89,"['gbdt', 20, 10, 0.001, 150]",0.124203822,0.453488372,0.195,0.778846154,0.659968596
473,"['goss', 20, 10, 0.001, 150]",0.124203822,0.453488372,0.195,0.778846154,0.659968596
268,"['dart', 20, 7, 0.001, 100]",0.125,0.441860465,0.194871795,0.784340659,0.659968596
78,"['gbdt', 20, 7, 0.01, 50]",0.12585034,0.430232558,0.194736842,0.789835165,0.659968596
462,"['goss', 20, 7, 0.01, 50]",0.12585034,0.430232558,0.194736842,0.789835165,0.659968596
368,"['dart', 40, 7, 0.01, 150]",0.126760563,0.418604651,0.194594595,0.79532967,0.659968596
182,"['gbdt', 40, 10, 0.0001, 150]",0.131687243,0.372093023,0.194528875,0.817994505,0.659968596
566,"['goss', 40, 10, 0.0001, 150]",0.131687243,0.372093023,0.194528875,0.817994505,0.659968596
87,"['gbdt', 20, 10, 0.001, 50]",0.124590164,0.441860465,0.194373402,0.783653846,0.659968596
281,"['dart', 20, 10, 0.001, 150]",0.124590164,0.441860465,0.194373402,0.783653846,0.659968596
471,"['goss', 20, 10, 0.001, 50]",0.124590164,0.441860465,0.194373402,0.783653846,0.659968596
90,"['gbdt', 20, 10, 0.01, 50]",0.126315789,0.418604651,0.194070081,0.794642857,0.659968596
474,"['goss', 20, 10, 0.01, 50]",0.126315789,0.418604651,0.194070081,0.794642857,0.659968596
186,"['gbdt', 40, 10, 0.01, 50]",0.136150235,0.337209302,0.193979933,0.834478022,0.659968596
570,"['goss', 40, 10, 0.01, 50]",0.136150235,0.337209302,0.193979933,0.834478022,0.659968596
323,"['dart', 30, 7, 0.1, 150]",0.202531646,0.186046512,0.193939394,0.908653846,0.659968596
561,"['goss', 40, 7, 0.1, 50]",0.202531646,0.186046512,0.193939394,0.908653846,0.659968596
18,"['gbdt', 10, 5, 0.01, 50]",0.120111732,0.5,0.193693694,0.754120879,0.659968596
402,"['goss', 10, 5, 0.01, 50]",0.120111732,0.5,0.193693694,0.754120879,0.659968596
3,"['gbdt', 10, 3, 0.001, 50]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
51,"['gbdt', 20, 3, 0.001, 50]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
99,"['gbdt', 30, 3, 0.001, 50]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
147,"['gbdt', 40, 3, 0.001, 50]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
195,"['dart', 10, 3, 0.001, 50]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
196,"['dart', 10, 3, 0.001, 100]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
197,"['dart', 10, 3, 0.001, 150]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
243,"['dart', 20, 3, 0.001, 50]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
244,"['dart', 20, 3, 0.001, 100]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
245,"['dart', 20, 3, 0.001, 150]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
291,"['dart', 30, 3, 0.001, 50]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
292,"['dart', 30, 3, 0.001, 100]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
293,"['dart', 30, 3, 0.001, 150]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
339,"['dart', 40, 3, 0.001, 50]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
340,"['dart', 40, 3, 0.001, 100]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
341,"['dart', 40, 3, 0.001, 150]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
387,"['goss', 10, 3, 0.001, 50]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
435,"['goss', 20, 3, 0.001, 50]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
483,"['goss', 30, 3, 0.001, 50]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
531,"['goss', 40, 3, 0.001, 50]",0.117073171,0.558139535,0.193548387,0.725274725,0.659968596
279,"['dart', 20, 10, 0.001, 50]",0.123778502,0.441860465,0.193384224,0.78228022,0.659968596
380,"['dart', 40, 10, 0.01, 150]",0.135514019,0.337209302,0.193333333,0.833791209,0.659968596
94,"['gbdt', 20, 10, 0.1, 100]",0.237288136,0.162790698,0.193103448,0.919642857,0.659968596
307,"['dart', 30, 5, 0.01, 100]",0.12034384,0.488372093,0.193103448,0.758928571,0.659968596
355,"['dart', 40, 5, 0.01, 100]",0.12034384,0.488372093,0.193103448,0.758928571,0.659968596
224,"['dart', 10, 7, 0.01, 150]",0.121580547,0.465116279,0.192771084,0.769917582,0.659968596
236,"['dart', 10, 10, 0.01, 150]",0.121580547,0.465116279,0.192771084,0.769917582,0.659968596
317,"['dart', 30, 7, 0.001, 150]",0.123745819,0.430232558,0.192207792,0.786401099,0.659968596
306,"['dart', 30, 5, 0.01, 50]",0.121875,0.453488372,0.192118227,0.774725275,0.659968596
354,"['dart', 40, 5, 0.01, 50]",0.121875,0.453488372,0.192118227,0.774725275,0.659968596
123,"['gbdt', 30, 7, 0.001, 50]",0.123333333,0.430232558,0.191709845,0.785714286,0.659968596
316,"['dart', 30, 7, 0.001, 100]",0.123333333,0.430232558,0.191709845,0.785714286,0.659968596
507,"['goss', 30, 7, 0.001, 50]",0.123333333,0.430232558,0.191709845,0.785714286,0.659968596
7,"['gbdt', 10, 3, 0.01, 100]",0.115662651,0.558139535,0.191616766,0.721840659,0.659968596
55,"['gbdt', 20, 3, 0.01, 100]",0.115662651,0.558139535,0.191616766,0.721840659,0.659968596
103,"['gbdt', 30, 3, 0.01, 100]",0.115662651,0.558139535,0.191616766,0.721840659,0.659968596
151,"['gbdt', 40, 3, 0.01, 100]",0.115662651,0.558139535,0.191616766,0.721840659,0.659968596
391,"['goss', 10, 3, 0.01, 100]",0.115662651,0.558139535,0.191616766,0.721840659,0.659968596
439,"['goss', 20, 3, 0.01, 100]",0.115662651,0.558139535,0.191616766,0.721840659,0.659968596
487,"['goss', 30, 3, 0.01, 100]",0.115662651,0.558139535,0.191616766,0.721840659,0.659968596
535,"['goss', 40, 3, 0.01, 100]",0.115662651,0.558139535,0.191616766,0.721840659,0.659968596
257,"['dart', 20, 5, 0.001, 150]",0.111984283,0.662790698,0.191596639,0.669642857,0.659968596
280,"['dart', 20, 10, 0.001, 100]",0.121794872,0.441860465,0.190954774,0.778846154,0.659968596
171,"['gbdt', 40, 7, 0.001, 50]",0.12012012,0.465116279,0.190930788,0.76717033,0.659968596
365,"['dart', 40, 7, 0.001, 150]",0.12012012,0.465116279,0.190930788,0.76717033,0.659968596
555,"['goss', 40, 7, 0.001, 50]",0.12012012,0.465116279,0.190930788,0.76717033,0.659968596
315,"['dart', 30, 7, 0.001, 50]",0.122516556,0.430232558,0.190721649,0.784340659,0.659968596
305,"['dart', 30, 5, 0.001, 150]",0.111328125,0.662790698,0.190635452,0.667582418,0.659968596
353,"['dart', 40, 5, 0.001, 150]",0.111328125,0.662790698,0.190635452,0.667582418,0.659968596
477,"['goss', 20, 10, 0.1, 50]",0.195121951,0.186046512,0.19047619,0.906593407,0.659968596
364,"['dart', 40, 7, 0.001, 100]",0.119047619,0.465116279,0.18957346,0.76510989,0.659968596
318,"['dart', 30, 7, 0.01, 50]",0.120634921,0.441860465,0.189526185,0.776785714,0.659968596
122,"['gbdt', 30, 7, 0.0001, 150]",0.12244898,0.418604651,0.189473684,0.788461538,0.659968596
506,"['goss', 30, 7, 0.0001, 150]",0.12244898,0.418604651,0.189473684,0.788461538,0.659968596
170,"['gbdt', 40, 7, 0.0001, 150]",0.118694362,0.465116279,0.189125296,0.764423077,0.659968596
363,"['dart', 40, 7, 0.001, 50]",0.118694362,0.465116279,0.189125296,0.764423077,0.659968596
554,"['goss', 40, 7, 0.0001, 150]",0.118694362,0.465116279,0.189125296,0.764423077,0.659968596
378,"['dart', 40, 10, 0.01, 50]",0.129310345,0.348837209,0.188679245,0.822802198,0.659968596
256,"['dart', 20, 5, 0.001, 100]",0.109640832,0.674418605,0.188617886,0.65728022,0.659968596
121,"['gbdt', 30, 7, 0.0001, 100]",0.121621622,0.418604651,0.188481675,0.787087912,0.659968596
505,"['goss', 30, 7, 0.0001, 100]",0.121621622,0.418604651,0.188481675,0.787087912,0.659968596
6,"['gbdt', 10, 3, 0.01, 50]",0.110441767,0.639534884,0.188356164,0.674450549,0.659968596
54,"['gbdt', 20, 3, 0.01, 50]",0.110441767,0.639534884,0.188356164,0.674450549,0.659968596
102,"['gbdt', 30, 3, 0.01, 50]",0.110441767,0.639534884,0.188356164,0.674450549,0.659968596
150,"['gbdt', 40, 3, 0.01, 50]",0.110441767,0.639534884,0.188356164,0.674450549,0.659968596
390,"['goss', 10, 3, 0.01, 50]",0.110441767,0.639534884,0.188356164,0.674450549,0.659968596
438,"['goss', 20, 3, 0.01, 50]",0.110441767,0.639534884,0.188356164,0.674450549,0.659968596
486,"['goss', 30, 3, 0.01, 50]",0.110441767,0.639534884,0.188356164,0.674450549,0.659968596
534,"['goss', 40, 3, 0.01, 50]",0.110441767,0.639534884,0.188356164,0.674450549,0.659968596
393,"['goss', 10, 3, 0.1, 50]",0.130630631,0.337209302,0.188311688,0.828296703,0.659968596
441,"['goss', 20, 3, 0.1, 50]",0.130630631,0.337209302,0.188311688,0.828296703,0.659968596
489,"['goss', 30, 3, 0.1, 50]",0.130630631,0.337209302,0.188311688,0.828296703,0.659968596
537,"['goss', 40, 3, 0.1, 50]",0.130630631,0.337209302,0.188311688,0.828296703,0.659968596
395,"['goss', 10, 3, 0.1, 150]",0.19047619,0.186046512,0.188235294,0.90521978,0.659968596
443,"['goss', 20, 3, 0.1, 150]",0.19047619,0.186046512,0.188235294,0.90521978,0.659968596
491,"['goss', 30, 3, 0.1, 150]",0.19047619,0.186046512,0.188235294,0.90521978,0.659968596
539,"['goss', 40, 3, 0.1, 150]",0.19047619,0.186046512,0.188235294,0.90521978,0.659968596
169,"['gbdt', 40, 7, 0.0001, 100]",0.1179941,0.465116279,0.188235294,0.763049451,0.659968596
553,"['goss', 40, 7, 0.0001, 100]",0.1179941,0.465116279,0.188235294,0.763049451,0.659968596
212,"['dart', 10, 5, 0.01, 150]",0.117142857,0.476744186,0.188073394,0.756868132,0.659968596
72,"['gbdt', 20, 7, 0.0001, 50]",0.11875,0.441860465,0.187192118,0.773351648,0.659968596
73,"['gbdt', 20, 7, 0.0001, 100]",0.11875,0.441860465,0.187192118,0.773351648,0.659968596
74,"['gbdt', 20, 7, 0.0001, 150]",0.11875,0.441860465,0.187192118,0.773351648,0.659968596
264,"['dart', 20, 7, 0.0001, 50]",0.11875,0.441860465,0.187192118,0.773351648,0.659968596
265,"['dart', 20, 7, 0.0001, 100]",0.11875,0.441860465,0.187192118,0.773351648,0.659968596
266,"['dart', 20, 7, 0.0001, 150]",0.11875,0.441860465,0.187192118,0.773351648,0.659968596
456,"['goss', 20, 7, 0.0001, 50]",0.11875,0.441860465,0.187192118,0.773351648,0.659968596
457,"['goss', 20, 7, 0.0001, 100]",0.11875,0.441860465,0.187192118,0.773351648,0.659968596
458,"['goss', 20, 7, 0.0001, 150]",0.11875,0.441860465,0.187192118,0.773351648,0.659968596
259,"['dart', 20, 5, 0.01, 100]",0.116959064,0.465116279,0.186915888,0.760989011,0.659968596
283,"['dart', 20, 10, 0.01, 100]",0.122302158,0.395348837,0.186813187,0.796703297,0.659968596
120,"['gbdt', 30, 7, 0.0001, 50]",0.121107266,0.406976744,0.186666667,0.790521978,0.659968596
312,"['dart', 30, 7, 0.0001, 50]",0.121107266,0.406976744,0.186666667,0.790521978,0.659968596
313,"['dart', 30, 7, 0.0001, 100]",0.121107266,0.406976744,0.186666667,0.790521978,0.659968596
314,"['dart', 30, 7, 0.0001, 150]",0.121107266,0.406976744,0.186666667,0.790521978,0.659968596
319,"['dart', 30, 7, 0.01, 100]",0.121107266,0.406976744,0.186666667,0.790521978,0.659968596
504,"['goss', 30, 7, 0.0001, 50]",0.121107266,0.406976744,0.186666667,0.790521978,0.659968596
168,"['gbdt', 40, 7, 0.0001, 50]",0.11746988,0.453488372,0.186602871,0.766483516,0.659968596
360,"['dart', 40, 7, 0.0001, 50]",0.11746988,0.453488372,0.186602871,0.766483516,0.659968596
361,"['dart', 40, 7, 0.0001, 100]",0.11746988,0.453488372,0.186602871,0.766483516,0.659968596
362,"['dart', 40, 7, 0.0001, 150]",0.11746988,0.453488372,0.186602871,0.766483516,0.659968596
552,"['goss', 40, 7, 0.0001, 50]",0.11746988,0.453488372,0.186602871,0.766483516,0.659968596
63,"['gbdt', 20, 5, 0.001, 50]",0.108571429,0.662790698,0.186579378,0.658653846,0.659968596
