,params,precisions,recalls,f1_scores,accuracy,coef_s,aucs
11,"[0.01, 'rbf', 'auto', 'ovr', False]",0.122222222,0.255813953,0.165413534,0.847527473,coefs,0.659968596
102,"[0.31000000000000005, 'poly', 'auto', 'ovr', True]",0.166666667,0.162790698,0.164705882,0.902472527,coefs,0.659968596
103,"[0.31000000000000005, 'poly', 'auto', 'ovr', False]",0.166666667,0.162790698,0.164705882,0.902472527,coefs,0.659968596
26,"[0.060000000000000005, 'rbf', 'auto', 'ovr', True]",0.15,0.174418605,0.161290323,0.892857143,coefs,0.659968596
27,"[0.060000000000000005, 'rbf', 'auto', 'ovr', False]",0.15,0.174418605,0.161290323,0.892857143,coefs,0.659968596
8,"[0.01, 'rbf', 'scale', 'ovr', True]",0.096470588,0.476744186,0.160469667,0.705357143,coefs,0.659968596
9,"[0.01, 'rbf', 'scale', 'ovr', False]",0.096470588,0.476744186,0.160469667,0.705357143,coefs,0.659968596
20,"[0.060000000000000005, 'poly', 'scale', 'ovr', True]",0.1,0.395348837,0.159624413,0.754120879,coefs,0.659968596
21,"[0.060000000000000005, 'poly', 'scale', 'ovr', False]",0.1,0.395348837,0.159624413,0.754120879,coefs,0.659968596
86,"[0.26, 'poly', 'auto', 'ovr', True]",0.164556962,0.151162791,0.157575758,0.904532967,coefs,0.659968596
87,"[0.26, 'poly', 'auto', 'ovr', False]",0.164556962,0.151162791,0.157575758,0.904532967,coefs,0.659968596
154,"[0.46, 'rbf', 'auto', 'ovr', True]",0.23255814,0.11627907,0.15503876,0.925137363,coefs,0.659968596
155,"[0.46, 'rbf', 'auto', 'ovr', False]",0.23255814,0.11627907,0.15503876,0.925137363,coefs,0.659968596
138,"[0.41000000000000003, 'rbf', 'auto', 'ovr', True]",0.227272727,0.11627907,0.153846154,0.924450549,coefs,0.659968596
139,"[0.41000000000000003, 'rbf', 'auto', 'ovr', False]",0.227272727,0.11627907,0.153846154,0.924450549,coefs,0.659968596
170,"[0.51, 'rbf', 'auto', 'ovr', True]",0.227272727,0.11627907,0.153846154,0.924450549,coefs,0.659968596
171,"[0.51, 'rbf', 'auto', 'ovr', False]",0.227272727,0.11627907,0.153846154,0.924450549,coefs,0.659968596
4,"[0.01, 'poly', 'scale', 'ovr', True]",0.085245902,0.604651163,0.149425287,0.593406593,coefs,0.659968596
5,"[0.01, 'poly', 'scale', 'ovr', False]",0.085245902,0.604651163,0.149425287,0.593406593,coefs,0.659968596
298,"[0.91, 'rbf', 'auto', 'ovr', True]",0.208333333,0.11627907,0.149253731,0.921703297,coefs,0.659968596
299,"[0.91, 'rbf', 'auto', 'ovr', False]",0.208333333,0.11627907,0.149253731,0.921703297,coefs,0.659968596
52,"[0.16000000000000003, 'poly', 'scale', 'ovr', True]",0.112426036,0.220930233,0.149019608,0.850961538,coefs,0.659968596
53,"[0.16000000000000003, 'poly', 'scale', 'ovr', False]",0.112426036,0.220930233,0.149019608,0.850961538,coefs,0.659968596
314,"[0.9600000000000001, 'rbf', 'auto', 'ovr', True]",0.204081633,0.11627907,0.148148148,0.921016484,coefs,0.659968596
315,"[0.9600000000000001, 'rbf', 'auto', 'ovr', False]",0.204081633,0.11627907,0.148148148,0.921016484,coefs,0.659968596
54,"[0.16000000000000003, 'poly', 'auto', 'ovr', True]",0.169230769,0.127906977,0.145695364,0.911401099,coefs,0.659968596
55,"[0.16000000000000003, 'poly', 'auto', 'ovr', False]",0.169230769,0.127906977,0.145695364,0.911401099,coefs,0.659968596
22,"[0.060000000000000005, 'poly', 'auto', 'ovr', True]",0.192307692,0.11627907,0.144927536,0.918956044,coefs,0.659968596
23,"[0.060000000000000005, 'poly', 'auto', 'ovr', False]",0.192307692,0.11627907,0.144927536,0.918956044,coefs,0.659968596
38,"[0.11, 'poly', 'auto', 'ovr', True]",0.181818182,0.11627907,0.141843972,0.916895604,coefs,0.659968596
39,"[0.11, 'poly', 'auto', 'ovr', False]",0.181818182,0.11627907,0.141843972,0.916895604,coefs,0.659968596
28,"[0.060000000000000005, 'sigmoid', 'scale', 'ovr', True]",0.077445652,0.662790698,0.138686131,0.513736264,coefs,0.659968596
